[2025-07-01 23:38:18] Vérification des variables d'environnement requises...
[2025-07-01 23:38:18] Vérification de la disponibilité des services dépendants...
[2025-07-01 23:38:18] Vérification de la connexion à Supabase...
[2025-07-01 23:38:18] ERREUR: Impossible de se connecter à Supabase à :443
[2025-07-01 23:39:03] Vérification des variables d'environnement requises...
[2025-07-01 23:39:03] Vérification de la disponibilité des services dépendants...
[2025-07-01 23:39:03] Vérification de la connexion à Supabase...
[2025-07-01 23:39:03] Attente de la disponibilité du service Supabase: (tentative 1/443)...
[2025-07-01 23:39:05] Attente de la disponibilité du service Supabase: (tentative 2/443)...
[2025-07-01 23:39:07] Attente de la disponibilité du service Supabase: (tentative 3/443)...
[2025-07-01 23:39:09] Attente de la disponibilité du service Supabase: (tentative 4/443)...
[2025-07-01 23:39:11] Attente de la disponibilité du service Supabase: (tentative 5/443)...
[2025-07-01 23:39:13] Attente de la disponibilité du service Supabase: (tentative 6/443)...
[2025-07-01 23:39:15] Attente de la disponibilité du service Supabase: (tentative 7/443)...
[2025-07-01 23:39:17] Attente de la disponibilité du service Supabase: (tentative 8/443)...
[2025-07-01 23:39:19] Attente de la disponibilité du service Supabase: (tentative 9/443)...
[2025-07-01 23:39:21] Attente de la disponibilité du service Supabase: (tentative 10/443)...
[2025-07-01 23:39:23] Attente de la disponibilité du service Supabase: (tentative 11/443)...
[2025-07-01 23:39:25] Attente de la disponibilité du service Supabase: (tentative 12/443)...
[2025-07-01 23:39:27] Attente de la disponibilité du service Supabase: (tentative 13/443)...
[2025-07-01 23:39:29] Attente de la disponibilité du service Supabase: (tentative 14/443)...
[2025-07-01 23:39:31] Attente de la disponibilité du service Supabase: (tentative 15/443)...
[2025-07-01 23:39:33] Attente de la disponibilité du service Supabase: (tentative 16/443)...
[2025-07-01 23:39:35] Attente de la disponibilité du service Supabase: (tentative 17/443)...
[2025-07-01 23:39:37] Arrêt du processus...
[2025-07-01 23:39:38] Vérification des variables d'environnement requises...
[2025-07-01 23:39:38] Vérification de la disponibilité des services dépendants...
[2025-07-01 23:39:38] Vérification de la connexion à Supabase...
[2025-07-01 23:39:38] Attente de la disponibilité du service Supabase: (tentative 1/443)...
[2025-07-01 23:39:40] Attente de la disponibilité du service Supabase: (tentative 2/443)...
[2025-07-01 23:39:42] Attente de la disponibilité du service Supabase: (tentative 3/443)...
[2025-07-01 23:39:44] Attente de la disponibilité du service Supabase: (tentative 4/443)...
[2025-07-01 23:39:46] Attente de la disponibilité du service Supabase: (tentative 5/443)...
[2025-07-01 23:39:48] Attente de la disponibilité du service Supabase: (tentative 6/443)...
[2025-07-01 23:39:50] Attente de la disponibilité du service Supabase: (tentative 7/443)...
[2025-07-01 23:39:52] Attente de la disponibilité du service Supabase: (tentative 8/443)...
[2025-07-01 23:39:54] Attente de la disponibilité du service Supabase: (tentative 9/443)...
[2025-07-01 23:39:56] Attente de la disponibilité du service Supabase: (tentative 10/443)...
[2025-07-01 23:39:58] Attente de la disponibilité du service Supabase: (tentative 11/443)...
[2025-07-01 23:40:00] Attente de la disponibilité du service Supabase: (tentative 12/443)...
[2025-07-01 23:40:02] Attente de la disponibilité du service Supabase: (tentative 13/443)...
[2025-07-01 23:40:04] Attente de la disponibilité du service Supabase: (tentative 14/443)...
[2025-07-01 23:40:06] Attente de la disponibilité du service Supabase: (tentative 15/443)...
[2025-07-01 23:40:08] Attente de la disponibilité du service Supabase: (tentative 16/443)...
[2025-07-01 23:40:10] Attente de la disponibilité du service Supabase: (tentative 17/443)...
[2025-07-01 23:40:12] Attente de la disponibilité du service Supabase: (tentative 18/443)...
[2025-07-01 23:40:14] Attente de la disponibilité du service Supabase: (tentative 19/443)...
[2025-07-01 23:40:16] Attente de la disponibilité du service Supabase: (tentative 20/443)...
[2025-07-01 23:40:18] Attente de la disponibilité du service Supabase: (tentative 21/443)...
[2025-07-01 23:40:20] Attente de la disponibilité du service Supabase: (tentative 22/443)...
[2025-07-01 23:40:22] Attente de la disponibilité du service Supabase: (tentative 23/443)...
[2025-07-01 23:40:24] Arrêt du processus...
[2025-07-01 23:40:25] Vérification des variables d'environnement requises...
[2025-07-01 23:40:25] Vérification de la disponibilité des services dépendants...
[2025-07-01 23:40:25] Vérification de la connexion à Supabase...
[2025-07-01 23:40:25] Attente de la disponibilité du service Supabase: (tentative 1/443)...
[2025-07-01 23:40:27] Attente de la disponibilité du service Supabase: (tentative 2/443)...
[2025-07-01 23:40:29] Attente de la disponibilité du service Supabase: (tentative 3/443)...
[2025-07-01 23:40:31] Attente de la disponibilité du service Supabase: (tentative 4/443)...
[2025-07-01 23:40:33] Attente de la disponibilité du service Supabase: (tentative 5/443)...
[2025-07-01 23:40:35] Attente de la disponibilité du service Supabase: (tentative 6/443)...
[2025-07-01 23:40:37] Attente de la disponibilité du service Supabase: (tentative 7/443)...
[2025-07-01 23:40:39] Attente de la disponibilité du service Supabase: (tentative 8/443)...
[2025-07-01 23:40:41] Attente de la disponibilité du service Supabase: (tentative 9/443)...
[2025-07-01 23:40:43] Attente de la disponibilité du service Supabase: (tentative 10/443)...
[2025-07-01 23:40:45] Attente de la disponibilité du service Supabase: (tentative 11/443)...
[2025-07-01 23:40:47] Attente de la disponibilité du service Supabase: (tentative 12/443)...
[2025-07-01 23:40:49] Attente de la disponibilité du service Supabase: (tentative 13/443)...
[2025-07-01 23:40:51] Attente de la disponibilité du service Supabase: (tentative 14/443)...
[2025-07-01 23:40:53] Attente de la disponibilité du service Supabase: (tentative 15/443)...
[2025-07-01 23:40:55] Attente de la disponibilité du service Supabase: (tentative 16/443)...
[2025-07-01 23:40:57] Attente de la disponibilité du service Supabase: (tentative 17/443)...
[2025-07-01 23:40:59] Attente de la disponibilité du service Supabase: (tentative 18/443)...
[2025-07-01 23:41:01] Attente de la disponibilité du service Supabase: (tentative 19/443)...
[2025-07-01 23:41:03] Attente de la disponibilité du service Supabase: (tentative 20/443)...
[2025-07-01 23:41:05] Attente de la disponibilité du service Supabase: (tentative 21/443)...
[2025-07-01 23:41:07] Attente de la disponibilité du service Supabase: (tentative 22/443)...
[2025-07-01 23:41:09] Attente de la disponibilité du service Supabase: (tentative 23/443)...
[2025-07-01 23:41:11] Attente de la disponibilité du service Supabase: (tentative 24/443)...
[2025-07-01 23:41:13] Attente de la disponibilité du service Supabase: (tentative 25/443)...
[2025-07-01 23:41:15] Attente de la disponibilité du service Supabase: (tentative 26/443)...
[2025-07-01 23:41:17] Attente de la disponibilité du service Supabase: (tentative 27/443)...
[2025-07-01 23:41:19] Attente de la disponibilité du service Supabase: (tentative 28/443)...
[2025-07-01 23:41:21] Attente de la disponibilité du service Supabase: (tentative 29/443)...
[2025-07-01 23:41:23] Attente de la disponibilité du service Supabase: (tentative 30/443)...
[2025-07-01 23:41:25] Attente de la disponibilité du service Supabase: (tentative 31/443)...
[2025-07-01 23:41:27] Attente de la disponibilité du service Supabase: (tentative 32/443)...
[2025-07-01 23:41:29] Attente de la disponibilité du service Supabase: (tentative 33/443)...
[2025-07-01 23:41:31] Attente de la disponibilité du service Supabase: (tentative 34/443)...
[2025-07-01 23:41:33] Attente de la disponibilité du service Supabase: (tentative 35/443)...
[2025-07-01 23:41:35] Attente de la disponibilité du service Supabase: (tentative 36/443)...
[2025-07-01 23:41:37] Attente de la disponibilité du service Supabase: (tentative 37/443)...
[2025-07-01 23:41:39] Attente de la disponibilité du service Supabase: (tentative 38/443)...
[2025-07-01 23:41:41] Attente de la disponibilité du service Supabase: (tentative 39/443)...
[2025-07-01 23:41:43] Attente de la disponibilité du service Supabase: (tentative 40/443)...
[2025-07-01 23:41:45] Attente de la disponibilité du service Supabase: (tentative 41/443)...
[2025-07-01 23:41:47] Attente de la disponibilité du service Supabase: (tentative 42/443)...
[2025-07-01 23:41:49] Attente de la disponibilité du service Supabase: (tentative 43/443)...
[2025-07-01 23:41:51] Attente de la disponibilité du service Supabase: (tentative 44/443)...
[2025-07-01 23:41:53] Attente de la disponibilité du service Supabase: (tentative 45/443)...
[2025-07-01 23:41:55] Attente de la disponibilité du service Supabase: (tentative 46/443)...
[2025-07-01 23:41:57] Attente de la disponibilité du service Supabase: (tentative 47/443)...
[2025-07-01 23:41:59] Attente de la disponibilité du service Supabase: (tentative 48/443)...
[2025-07-01 23:42:01] Attente de la disponibilité du service Supabase: (tentative 49/443)...
[2025-07-01 23:42:03] Attente de la disponibilité du service Supabase: (tentative 50/443)...
[2025-07-01 23:42:05] Attente de la disponibilité du service Supabase: (tentative 51/443)...
[2025-07-01 23:42:07] Attente de la disponibilité du service Supabase: (tentative 52/443)...
[2025-07-01 23:42:09] Attente de la disponibilité du service Supabase: (tentative 53/443)...
[2025-07-01 23:42:11] Attente de la disponibilité du service Supabase: (tentative 54/443)...
[2025-07-01 23:42:13] Attente de la disponibilité du service Supabase: (tentative 55/443)...
[2025-07-01 23:42:15] Attente de la disponibilité du service Supabase: (tentative 56/443)...
[2025-07-01 23:42:17] Attente de la disponibilité du service Supabase: (tentative 57/443)...
[2025-07-01 23:42:19] Attente de la disponibilité du service Supabase: (tentative 58/443)...
[2025-07-01 23:42:21] Attente de la disponibilité du service Supabase: (tentative 59/443)...
[2025-07-01 23:42:23] Attente de la disponibilité du service Supabase: (tentative 60/443)...
[2025-07-01 23:42:25] Attente de la disponibilité du service Supabase: (tentative 61/443)...
[2025-07-01 23:42:27] Attente de la disponibilité du service Supabase: (tentative 62/443)...
[2025-07-01 23:42:29] Attente de la disponibilité du service Supabase: (tentative 63/443)...
[2025-07-01 23:42:31] Attente de la disponibilité du service Supabase: (tentative 64/443)...
[2025-07-01 23:42:33] Attente de la disponibilité du service Supabase: (tentative 65/443)...
[2025-07-01 23:42:35] Attente de la disponibilité du service Supabase: (tentative 66/443)...
[2025-07-01 23:42:37] Attente de la disponibilité du service Supabase: (tentative 67/443)...
[2025-07-01 23:42:39] Attente de la disponibilité du service Supabase: (tentative 68/443)...
[2025-07-01 23:42:41] Attente de la disponibilité du service Supabase: (tentative 69/443)...
[2025-07-01 23:42:43] Attente de la disponibilité du service Supabase: (tentative 70/443)...
[2025-07-01 23:42:45] Attente de la disponibilité du service Supabase: (tentative 71/443)...
[2025-07-01 23:42:47] Attente de la disponibilité du service Supabase: (tentative 72/443)...
[2025-07-01 23:42:49] Attente de la disponibilité du service Supabase: (tentative 73/443)...
[2025-07-01 23:42:51] Attente de la disponibilité du service Supabase: (tentative 74/443)...
[2025-07-01 23:42:53] Attente de la disponibilité du service Supabase: (tentative 75/443)...
[2025-07-01 23:42:55] Attente de la disponibilité du service Supabase: (tentative 76/443)...
[2025-07-01 23:42:57] Attente de la disponibilité du service Supabase: (tentative 77/443)...
[2025-07-01 23:42:59] Attente de la disponibilité du service Supabase: (tentative 78/443)...
[2025-07-01 23:43:01] Attente de la disponibilité du service Supabase: (tentative 79/443)...
[2025-07-01 23:43:03] Attente de la disponibilité du service Supabase: (tentative 80/443)...
[2025-07-01 23:43:05] Attente de la disponibilité du service Supabase: (tentative 81/443)...
[2025-07-01 23:43:07] Attente de la disponibilité du service Supabase: (tentative 82/443)...
[2025-07-01 23:43:09] Attente de la disponibilité du service Supabase: (tentative 83/443)...
[2025-07-01 23:43:11] Attente de la disponibilité du service Supabase: (tentative 84/443)...
[2025-07-01 23:43:13] Attente de la disponibilité du service Supabase: (tentative 85/443)...
[2025-07-01 23:43:15] Attente de la disponibilité du service Supabase: (tentative 86/443)...
[2025-07-01 23:43:17] Attente de la disponibilité du service Supabase: (tentative 87/443)...
[2025-07-01 23:43:19] Attente de la disponibilité du service Supabase: (tentative 88/443)...
[2025-07-01 23:43:21] Attente de la disponibilité du service Supabase: (tentative 89/443)...
